"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
